date,yt_pred_d1d12_mlp,yt_true
1946-01-01,,890
1946-02-01,,992
1946-03-01,,979
1946-04-01,,959
1946-05-01,,1110
1946-06-01,,1546
1946-07-01,,1539
1946-08-01,,3401
1946-09-01,,2092
1946-10-01,,1436
1946-11-01,,1301
1946-12-01,,1287
1947-01-01,,1488
1947-02-01,,1517
1947-03-01,,1707
1947-04-01,,1729
1947-05-01,,1788
1947-06-01,,2008
1947-07-01,,2203
1947-08-01,,3713
1947-09-01,,2946
1947-10-01,,2082
1947-11-01,,2033
1947-12-01,,1937
1948-01-01,,1711
1948-02-01,,1775
1948-03-01,1926.0496447515152,1902
1948-04-01,1887.2497140495148,1846
1948-05-01,1863.4183278324908,2083
1948-06-01,2265.472730974139,2262
1948-07-01,2415.9099108447663,2193
1948-08-01,3664.9418672998054,3792
1948-09-01,2984.137382679619,2343
1948-10-01,1437.8881294894463,2313
1948-11-01,2225.0459394036106,2179
1948-12-01,2045.7245091726477,1975
1949-01-01,1704.6241813906172,1880
1949-02-01,1902.8991330630233,1930
1949-03-01,2018.8474781187151,2060
1949-04-01,1966.9025076717985,1843
1949-05-01,2040.8154228500416,2052
1949-06-01,2189.644815341352,2039
1949-07-01,1931.9628214173354,2351
1949-08-01,3909.9215692619655,3394
1949-09-01,1907.1780330123229,3581
1949-10-01,3519.3448277620664,2489
1949-11-01,2323.4895344115284,2468
1949-12-01,2219.070577977526,2134
1950-01-01,2002.4748894882377,1903
1950-02-01,1915.0539780956979,1719
1950-03-01,1810.0252129783798,1617
1950-04-01,1357.509379626962,1818
1950-05-01,1986.5326322385736,2067
1950-06-01,2023.2119432086447,2457
1950-07-01,2729.258623732332,2600
1950-08-01,3612.1437164702256,3530
1950-09-01,3674.0454345615444,2693
1950-10-01,1562.8286294956042,2448
1950-11-01,2380.871070154204,2250
1950-12-01,1880.782038651816,1972
1951-01-01,1698.8347702868941,1682
1951-02-01,1456.1350227669136,1730
1951-03-01,1591.0827566140788,1814
1951-04-01,1981.6270840454417,1900
1951-05-01,2114.699481869694,2051
1951-06-01,2399.3102258622657,2290
1951-07-01,2396.5596318112184,2599
1951-08-01,3485.8732154984755,3428
1951-09-01,2553.471171557675,2262
1951-10-01,1971.8327903441332,2242
1951-11-01,2011.906079328326,2103
1951-12-01,1788.6269865216896,1825
1952-01-01,1498.623323019754,1670
1952-02-01,1681.46926318212,1681
1952-03-01,1728.1090612599673,1713
